drug_id,drug_name,location,qty_on_hand,expiry_date,batch_lot,safety_stock,avg_daily_use
SODI-0.9-ER,Normal Saline 0.9% 1L,Emergency-Room-Storage,100,2026-09-20,BATCH-NS003,60,28.0
DEXT-5-PH,Dextrose 5% 1L,Pharmacy-Main,400,2026-11-30,BATCH-D5001,180,42.0
DEXT-5-W1,Dextrose 5% 1L,Ward-1-Storage,120,2026-09-15,BATCH-D5002,70,30.0
LACT-RL-PH,Lactated Ringers 1L,Pharmacy-Main,350,2026-12-15,BATCH-LR001,150,38.0
LACT-RL-ER,Lactated Ringers 1L,Emergency-Room-Storage,85,2026-10-30,BATCH-LR002,50,22.0
ALBU-25-PH,Albumin 25% 50mL,Pharmacy-Main,80,2025-07-30,BATCH-ALB001,40,4.5
ALBU-25-ICU,Albumin 25% 50mL,ICU-Shelf-A,30,2025-08-15,BATCH-ALB002,20,3.0
MANNI-20-ICU,Mannitol 20% 250mL,ICU-Shelf-B,45,2025-11-30,BATCH-MN001,25,3.2
FURO-40MG-PH,Furosemide 40mg,Pharmacy-Main,280,2026-07-20,BATCH-FU001,120,22.0
FURO-40MG-ICU,Furosemide 40mg,ICU-Shelf-A,75,2026-05-15,BATCH-FU002,45,15.0
FURO-40MG-W1,Furosemide 40mg,Ward-1-Storage,95,2026-06-10,BATCH-FU003,50,12.0
SPIR-25MG-PH,Spironolactone 25mg,Pharmacy-Main,180,2026-08-30,BATCH-SP001,80,12.0
HYDR-25MG-PH,Hydrochlorothiazide 25mg,Pharmacy-Main,220,2026-09-25,BATCH-HZ001,100,15.0
WARFA-5MG-PH,Warfarin 5mg,Pharmacy-Main,300,2026-10-10,BATCH-WF001,140,18.0
WARFA-5MG-W1,Warfarin 5mg,Ward-1-Storage,80,2026-08-20,BATCH-WF002,45,12.0
ENOX-40MG-PH,Enoxaparin 40mg,Pharmacy-Main,200,2026-05-30,BATCH-EN001,90,14.0
ENOX-40MG-ICU,Enoxaparin 40mg,ICU-Shelf-B,55,2026-04-15,BATCH-EN002,35,10.0
CLOP-75MG-PH,Clopidogrel 75mg,Pharmacy-Main,250,2026-11-20,BATCH-CL001,110,16.0
CLOP-75MG-W1,Clopidogrel 75mg,Ward-1-Storage,75,2026-09-15,BATCH-CL002,40,11.0
ASPI-81MG-PH,Aspirin 81mg,Pharmacy-Main,800,2027-03-30,BATCH-AS001,350,55.0
ASPI-81MG-W1,Aspirin 81mg,Ward-1-Storage,220,2027-01-15,BATCH-AS002,100,40.0
ACET-500MG-PH,Acetaminophen 500mg,Pharmacy-Main,1000,2027-06-30,BATCH-AC001,400,75.0
ACET-500MG-W1,Acetaminophen 500mg,Ward-1-Storage,280,2027-04-15,BATCH-AC002,120,55.0
ACET-500MG-ER,Acetaminophen 500mg,Emergency-Room-Cabinet,150,2027-05-10,BATCH-AC003,80,35.0
IBUP-400MG-PH,Ibuprofen 400mg,Pharmacy-Main,650,2027-05-20,BATCH-IB001,280,48.0
IBUP-400MG-W1,Ibuprofen 400mg,Ward-1-Storage,180,2027-03-10,BATCH-IB002,90,35.0
TRAM-50MG-PH,Tramadol 50mg,Pharmacy-Main,180,2026-04-30,BATCH-TR001,85,12.0
TRAM-50MG-W1,Tramadol 50mg,Ward-1-Storage,55,2026-03-15,BATCH-TR002,35,8.5
OXCO-5MG-V1,Oxycodone 5mg,Secure-Vault-1,90,2025-12-30,BATCH-OX001,45,4.0
OXCO-5MG-V2,Oxycodone 5mg,Secure-Vault-2,50,2026-01-25,BATCH-OX002,30,2.8
HYDR-5MG-V1,Hydrocodone 5mg/APAP,Secure-Vault-1,75,2026-02-20,BATCH-HY001,40,3.5
CODE-30MG-V1,Codeine 30mg,Secure-Vault-1,60,2026-03-15,BATCH-CD001,35,2.8
PRED-20MG-PH,Prednisone 20mg,Pharmacy-Main,350,2026-08-10,BATCH-PR001,150,22.0
PRED-20MG-W1,Prednisone 20mg,Ward-1-Storage,95,2026-06-25,BATCH-PR002,50,15.0
DEXA-4MG-PH,Dexamethasone 4mg,Pharmacy-Main,280,2026-09-30,BATCH-DX001,120,18.0
DEXA-4MG-ICU,Dexamethasone 4mg,ICU-Shelf-A,70,2026-07-20,BATCH-DX002,40,12.0
HYDR-100MG-PH,Hydrocortisone 100mg,Pharmacy-Main,200,2026-07-15,BATCH-HC001,90,14.0
METH-4MG-PH,Methylprednisolone 4mg,Pharmacy-Main,180,2026-10-25,BATCH-MP001,80,11.0
LEVO-500MG-PH,Levofloxacin 500mg,Pharmacy-Main,220,2026-06-30,BATCH-LV001,100,15.0
AZIT-250MG-PH,Azithromycin 250mg,Pharmacy-Main,350,2026-08-20,BATCH-AZ001,150,25.0
DOXY-100MG-PH,Doxycycline 100mg,Pharmacy-Main,280,2026-09-15,BATCH-DX001,120,18.0
FLUC-150MG-PH,Fluconazole 150mg,Pharmacy-Main,150,2026-07-10,BATCH-FC001,70,8.0
ACYC-400MG-PH,Acyclovir 400mg,Pharmacy-Main,180,2026-11-05,BATCH-ACV001,80,10.0
GABA-300MG-PH,Gabapentin 300mg,Pharmacy-Main,400,2026-12-20,BATCH-GB001,180,28.0
PREG-75MG-PH,Pregabalin 75mg,Pharmacy-Main,250,2026-10-30,BATCH-PG001,110,18.0
LEVE-500MG-PH,Levetiracetam 500mg,Pharmacy-Main,320,2026-11-15,BATCH-LE001,140,22.0
PHEN-100MG-PH,Phenytoin 100mg,Pharmacy-Main,180,2026-09-25,BATCH-PH001,80,12.0
CARB-200MG-PH,Carbamazepine 200mg,Pharmacy-Main,200,2026-10-10,BATCH-CB001,90,14.0
VALP-250MG-PH,Valproic Acid 250mg,Pharmacy-Main,220,2026-08-05,BATCH-VA001,100,15.0
SERT-50MG-PH,Sertraline 50mg,Pharmacy-Main,300,2027-01-30,BATCH-SR001,130,20.0
ESCI-10MG-PH,Escitalopram 10mg,Pharmacy-Main,280,2026-12-15,BATCH-ES001,120,18.0
FLUO-20MG-PH,Fluoxetine 20mg,Pharmacy-Main,250,2027-02-20,BATCH-FX001,110,16.0
DULX-30MG-PH,Duloxetine 30mg,Pharmacy-Main,200,2026-11-25,BATCH-DL001,90,14.0
QUET-100MG-PH,Quetiapine 100mg,Pharmacy-Main,180,2026-10-05,BATCH-QT001,80,12.0
RISP-2MG-PH,Risperidone 2mg,Pharmacy-Main,150,2026-09-10,BATCH-RS001,70,10.0
OLAN-10MG-PH,Olanzapine 10mg,Pharmacy-Main,140,2026-08-25,BATCH-OL001,65,9.0
HALO-5MG-PH,Haloperidol 5mg,Pharmacy-Main,120,2026-07-30,BATCH-HL001,55,8.0
HALO-5MG-ER,Haloperidol 5mg,Emergency-Room-Cabinet,35,2026-06-15,BATCH-HL002,20,4.5
LITH-300MG-PH,Lithium Carbonate 300mg,Pharmacy-Main,160,2026-11-30,BATCH-LI001,75,10.0
CLOZ-100MG-PH,Clozapine 100mg,Pharmacy-Main,80,2026-09-20,BATCH-CZ001,40,5.0
AMLOD-5MG-PH,Amlodipine 5mg,Pharmacy-Main,450,2026-12-10,BATCH-AM001,200,32.0
NIFED-30MG-PH,Nifedipine 30mg,Pharmacy-Main,200,2026-10-25,BATCH-NF001,90,14.0
DILTI-120MG-PH,Diltiazem 120mg,Pharmacy-Main,220,2026-11-20,BATCH-DT001,100,15.0
VERA-80MG-PH,Verapamil 80mg,Pharmacy-Main,180,2026-09-30,BATCH-VR001,80,12.0
LOSAR-50MG-PH,Losartan 50mg,Pharmacy-Main,380,2027-01-15,BATCH-LO001,170,28.0
VALSA-160MG-PH,Valsartan 160mg,Pharmacy-Main,200,2026-12-25,BATCH-VS001,90,14.0
TELMIS-40MG-PH,Telmisartan 40mg,Pharmacy-Main,180,2026-11-10,BATCH-TM001,80,12.0
ENALAPRIL-10MG-PH,Enalapril 10mg,Pharmacy-Main,250,2027-02-28,BATCH-EL001,110,18.0
RAMIP-5MG-PH,Ramipril 5mg,Pharmacy-Main,220,2027-01-20,BATCH-RM001,100,15.0
METFO-500MG-PH,Metformin 500mg,Pharmacy-Main,600,2027-04-30,BATCH-MF001,260,45.0
METFO-500MG-W1,Metformin 500mg,Ward-1-Storage,180,2027-02-15,BATCH-MF002,90,32.0
GLIP-5MG-PH,Glipizide 5mg,Pharmacy-Main,200,2026-10-20,BATCH-GL001,90,14.0
GLIM-2MG-PH,Glimepiride 2mg,Pharmacy-Main,180,2026-11-15,BATCH-GM001,80,12.0
SITA-100MG-PH,Sitagliptin 100mg,Pharmacy-Main,150,2026-12-05,BATCH-ST001,70,10.0
EMPA-10MG-PH,Empagliflozin 10mg,Pharmacy-Main,140,2027-01-25,BATCH-EM001,65,9.0
LIRA-1.8MG-FR,Liraglutide 1.8mg,Pharmacy-Fridge-2,60,2025-09-30,BATCH-LG001,30,3.5
SEMA-1MG-FR,Semaglutide 1mg,Pharmacy-Fridge-2,50,2025-10-15,BATCH-SM001,25,2.8
LEVO-100MCG-PH,Levothyroxine 100mcg,Pharmacy-Main,350,2027-03-20,BATCH-LT001,150,25.0
LEVO-100MCG-W1,Levothyroxine 100mcg,Ward-1-Storage,100,2027-01-10,BATCH-LT002,50,18.0
PROPO-10MG-PH,Propylthiouracil 10mg,Pharmacy-Main,80,2026-08-15,BATCH-PT001,40,5.0
METH-10MG-PH,Methimazole 10mg,Pharmacy-Main,100,2026-09-10,BATCH-MM001,50,6.0
ALENDR-70MG-PH,Alendronate 70mg,Pharmacy-Main,120,2027-02-28,BATCH-AL001,55,4.0
CALC-600MG-PH,Calcium Carbonate 600mg,Pharmacy-Main,500,2027-06-15,BATCH-CC001,220,35.0
VITD-1000IU-PH,Vitamin D3 1000IU,Pharmacy-Main,400,2027-08-30,BATCH-VD001,180,28.0
IRON-325MG-PH,Ferrous Sulfate 325mg,Pharmacy-Main,350,2027-05-20,BATCH-FE001,150,22.0
B12-1000MCG-PH,Vitamin B12 1000mcg,Pharmacy-Main,200,2027-04-15,BATCH-B12001,90,12.0
FOLIC-1MG-PH,Folic Acid 1mg,Pharmacy-Main,280,2027-07-10,BATCH-FA001,120,18.0
ONDANS-4MG-PH,Ondansetron 4mg,Pharmacy-Main,250,2026-08-30,BATCH-ON001,110,18.0
ONDANS-4MG-ER,Ondansetron 4mg,Emergency-Room-Cabinet,60,2026-07-15,BATCH-ON002,35,12.0
METO-10MG-PH,Metoclopramide 10mg,Pharmacy-Main,200,2026-09-25,BATCH-MC001,90,14.0
PROM-25MG-PH,Promethazine 25mg,Pharmacy-Main,180,2026-10-10,BATCH-PM001,80,12.0
DIPHE-50MG-PH,Diphenhydramine 50mg,Pharmacy-Main,320,2027-01-30,BATCH-DP001,140,22.0
DIPHE-50MG-ER,Diphenhydramine 50mg,Emergency-Room-Cabinet,80,2026-11-20,BATCH-DP002,45,15.0
CETI-10MG-PH,Cetirizine 10mg,Pharmacy-Main,280,2027-03-15,BATCH-CT001,120,20.0
LORA-10MG-PH,Loratadine 10mg,Pharmacy-Main,250,2027-02-28,BATCH-LR001,110,18.0
ALBU-90MCG-PH,Albuterol 90mcg Inhaler,Pharmacy-Main,150,2026-06-30,BATCH-ALB001,70,10.0
ALBU-90MCG-ER,Albuterol 90mcg Inhaler,Emergency-Room-Cabinet,45,2026-05-15,BATCH-ALB002,25,8.0
IPRA-18MCG-PH,Ipratropium 18mcg Inhaler,Pharmacy-Main,100,2026-07-20,BATCH-IP001,50,7.0
BUDE-180MCG-PH,Budesonide 180mcg Inhaler,Pharmacy-Main,120,2026-08-25,BATCH-BU001,55,8.0
FLUTIC-250MCG-PH,Fluticasone 250mcg Inhaler,Pharmacy-Main,140,2026-09-10,BATCH-FL001,65,9.0
MONT-10MG-PH,Montelukast 10mg,Pharmacy-Main,200,2026-11-30,BATCH-MT001,90,14.0
THEO-400MG-PH,Theophylline 400mg,Pharmacy-Main,120,2026-10-15,BATCH-TH001,55,8.0
RANI-150MG-PH,Ranitidine 150mg,Pharmacy-Main,180,2026-07-30,BATCH-RN001,80,12.0
FAMO-20MG-PH,Famotidine 20mg,Pharmacy-Main,200,2026-08-20,BATCH-FM001,90,14.0
SUCC-1G-PH,Sucralfate 1g,Pharmacy-Main,150,2026-09-15,BATCH-SC001,70,10.0
MISO-200MCG-PH,Misoprostol 200mcg,Pharmacy-Main,80,2026-06-25,BATCH-MS001,40,5.0
LACT-10G-PH,Lactulose 10g/15mL,Pharmacy-Main,180,2027-01-20,BATCH-LC001,80,12.0
SENN-8.6MG-PH,Senna 8.6mg,Pharmacy-Main,250,2027-04-30,BATCH-SN001,110,18.0
DOCU-100MG-PH,Docusate 100mg,Pharmacy-Main,300,2027-05-15,BATCH-DC001,130,20.0
POLY-17G-PH,Polyethylene Glycol 17g,Pharmacy-Main,200,2027-03-25,BATCH-PG001,90,14.0
BISA-5MG-PH,Bisacodyl 5mg,Pharmacy-Main,220,2027-02-10,BATCH-BS001,100,15.0
LOPE-2MG-PH,Loperamide 2mg,Pharmacy-Main,180,2026-12-30,BATCH-LP001,80,12.0
PSYLL-3.4G-PH,Psyllium 3.4g,Pharmacy-Main,150,2027-06-20,BATCH-PS001,70,10.0
STOCK-OUT-TEST,Test Drug Stockout,Ward-3-Storage,0,2026-01-01,BATCH-TEST1,20,5.0
EXPIR-TEST,Test Drug Expired,Ward-3-Storage,25,2024-12-01,BATCH-TEST2,15,3.0
LOW-STOCK-TEST,Test Drug Low,ICU-Shelf-B,8,2026-06-01,BATCH-TEST3,30,4.0
