txnId,timestamp,empId,drugName,location,txnType,quantityChange,qtyBefore,qtyAfter,batchLot,reason,approvedBy
TXN025,2025-01-21 08:30,P001,Morphine Sulfate,ICU-Shelf-B,DISPENSED,-3,58,55,MOR-2024-002,Pain control,P001
TXN026,2025-01-21 08:15,N004,Ciprofloxacin,Pharmacy-Main,DISPENSED,-12,162,150,CIPRO-2025-001,UTI treatment,P003
TXN027,2025-01-21 08:00,P002,Amlodipine,Ward-A-Med-Room,DISPENSED,-16,216,200,AML-2025-002,Blood pressure,P002
TXN028,2025-01-21 07:45,N009,Warfarin,Pharmacy-Main,DISPENSED,-5,95,90,WAR-2025-001,Anticoagulation,P002
TXN029,2025-01-21 07:30,P004,Insulin NPH,Fridge-1,DISPENSED,-6,36,30,INS-NPH-2024-010,Long-acting insulin,P004
TXN030,2025-01-21 07:15,N001,Sodium Bicarbonate,ER-IV-Storage,DISPENSED,-8,92,84,BICARB-2025-001,Acidosis correction,P002
TXN031,2025-01-20 22:30,N007,Lorazepam,Secure-Vault-1,DISPENSED,-2,42,40,LOR-2024-007,Anxiety/sedation,P005
TXN032,2025-01-20 22:15,P005,Ceftriaxone,Ward-B-Med-Room,DISPENSED,-8,68,60,CEFT-2025-002,Antibiotic,P005
TXN033,2025-01-20 22:00,N006,Norepinephrine,ICU-Shelf-A,DISPENSED,-4,44,40,NOREPI-2024-012,Vasopressor,P005
TXN034,2025-01-20 21:45,P005,Propofol,OR-Anesthesia,DISPENSED,-15,85,70,BATCH-003,Surgery cases,P005
TXN035,2025-01-20 21:30,N010,Enoxaparin,Ward-A-Med-Room,DISPENSED,-10,60,50,ENOX-2025-001,DVT prevention,P005
TXN036,2025-01-20 18:00,P004,Amoxicillin,Pharmacy-Main,RECEIVED,300,400,700,AMOX-2025-003,Bulk order received,M001
TXN037,2025-01-20 17:45,N003,Hydrocortisone,ER-Cabinet-B,DISPENSED,-6,56,50,HYDRO-2025-001,Adrenal insufficiency,P004
TXN038,2025-01-20 17:30,P003,Epinephrine,Crash-Cart-ICU,DISPENSED,-2,18,16,EPI-2024-011,Cardiac arrest,P003
TXN039,2025-01-20 17:15,N005,Metoprolol,ICU-Shelf-B,DISPENSED,-9,59,50,METO-2025-001,Beta blocker,P003
TXN040,2025-01-20 17:00,P002,Dexamethasone,Pharmacy-Main,DISPENSED,-12,162,150,DEX-2025-002,Anti-inflammatory,P002
TXN041,2025-01-20 16:45,N002,Fentanyl,OR-Anesthesia,DISPENSED,-5,25,20,FEN-2024-009,Surgical anesthesia,P001
TXN042,2025-01-20 16:30,P001,Clopidogrel,Ward-B-Med-Room,DISPENSED,-11,111,100,CLOP-2025-001,Antiplatelet,P001
TXN043,2025-01-20 16:15,N008,Levofloxacin,Pharmacy-Main,DISPENSED,-8,108,100,LEVO-F-2025-001,Respiratory infection,P003
TXN044,2025-01-20 16:00,P005,Rocuronium,OR-Anesthesia,DISPENSED,-6,36,30,ROC-2024-008,Muscle relaxant,P005
TXN045,2025-01-20 15:45,N004,Normal Saline 0.9%,Ward-A-Med-Room,DISPENSED,-25,425,400,NS-2025-004,IV fluids,P002
TXN046,2025-01-20 15:30,P003,Remifentanil,Secure-Vault-2,DISPENSED,-3,23,20,REMI-2024-006,Ultra-short opioid,P003
TXN047,2025-01-20 15:15,N001,Acetaminophen,ER-Cabinet-B,DISPENSED,-30,180,150,ACETA-2025-001,Pain/fever,P002
TXN048,2025-01-20 15:00,P002,Heparin,ICU-Shelf-A,RECEIVED,50,7,57,HEP-2025-003,Emergency restock,M001
TXN049,2025-01-20 14:45,N007,Diazepam,Secure-Vault-1,DISPENSED,-2,27,25,DIAZ-2024-005,Seizure control,P001
TXN050,2025-01-20 14:30,P001,Albumin 5%,Pharmacy-Fridge,DISPENSED,-2,12,10,ALB-2024-009,Volume expansion,P001
TXN051,2025-01-20 14:15,N003,Ranitidine,Ward-B-Med-Room,DISPENSED,-20,120,100,RAN-2025-001,GI protection,P002
TXN052,2025-01-20 14:00,P004,Potassium Chloride,ER-IV-Storage,DISPENSED,-10,90,80,KCL-2025-002,Electrolyte,P004
TXN053,2025-01-20 13:45,N006,Tramadol,Pharmacy-Main,DISPENSED,-15,165,150,TRAM-2025-001,Moderate pain,P003
TXN054,2025-01-20 13:30,P002,Insulin Glargine,Fridge-1,DISPENSED,-4,24,20,INS-GL-2024-008,Basal insulin,P002
TXN055,2025-01-20 13:15,N002,Amiodarone,ICU-Shelf-A,DISPENSED,-3,33,30,AMIO-2025-001,Antiarrhythmic,P001
TXN056,2025-01-20 13:00,P003,Propofol,ICU-Shelf-A,RECEIVED,100,70,170,BATCH-004,Scheduled delivery,M002
TXN057,2025-01-20 12:45,N009,Salbutamol,ER-Cabinet-B,DISPENSED,-12,72,60,SALB-2025-001,Bronchodilator,P002
TXN058,2025-01-20 12:30,P001,Calcium Gluconate,Crash-Cart-ER,DISPENSED,-2,18,16,CAL-G-2025-001,Hypocalcemia,P001
TXN059,2025-01-20 12:15,N005,Haloperidol,Pharmacy-Main,DISPENSED,-6,56,50,HALO-2025-001,Acute agitation,P003
TXN060,2025-01-20 12:00,P005,Morphine Sulfate,Secure-Vault-1,RECEIVED,100,95,195,MOR-2025-003,Controlled substance restock,M001
TXN061,2025-01-19 20:30,N010,Ceftriaxone,ICU-Shelf-B,DISPENSED,-5,63,58,CEFT-2025-001,Sepsis protocol,P005
TXN062,2025-01-19 20:15,P005,Fentanyl,Secure-Vault-2,DISPENSED,-3,49,46,FEN-2024-008,Night shift pain mgmt,P005
TXN063,2025-01-19 16:45,P004,Vancomycin,Pharmacy-Fridge,RECEIVED,30,24,54,VANC-2025-004,New batch delivery,M002
TXN064,2025-01-19 16:30,N003,Propofol,OR-Anesthesia,DISPENSED,-20,90,70,BATCH-003,Multiple surgeries,P004
TXN065,2025-01-19 14:00,P002,Expired-Drug-Test,Ward-A-Med-Room,ADJUSTED,-50,50,0,EXP-2024-001,Expired batch removal,M001
TXN066,2025-01-19 09:00,P001,Midazolam,Secure-Vault-2,RECEIVED,50,40,90,MID-2025-005,Monthly restock,M001
TXN067,2025-01-18 18:00,P003,Insulin Regular,Fridge-1,RECEIVED,60,42,102,INS-R-2025-006,Scheduled delivery,M002
TXN068,2025-01-18 14:30,P002,Oxycodone,Secure-Vault-1,RECEIVED,40,30,70,OXY-2025-007,Controlled restock,M001
TXN069,2025-01-18 10:00,P001,Test-Stockout-Drug,ICU-Shelf-A,ADJUSTED,0,5,0,TEST-2025-001,Inventory correction,M002
TXN070,2025-01-17 16:00,P004,Fentanyl,Secure-Vault-2,RECEIVED,75,46,121,FEN-2025-008,Bulk order,M001
